SYMBOL,SCINAME,ALEPTH_IND,ANERB_TOLR_CD,BLOAT_POT_CD,BLOOM_PRD_CD,CACO3_TOLR_CD,C_N_RATIO_CD,XMAS_TREE_SUIT_IND,COLD_STRAT_IND,COPPICE_POT_IND,DRGHT_TOLR_CD,FALL_CSPC_IND,FERT_RQMT_CD,FIRE_RESIST_IND,FIRE_TOLR_CD,FLWR_COLOR_CD,FLWR_CSPC_IND,FODDR_SUIT_IND,FOLG_COLOR_CD,FOLG_PRSTY_SUMR_CD,FOLG_PRSTY_WNTR_CD,FOLG_TXT_CD,FROST_FREE_DAY_MIN,FROST_FREE_DAY_MIN_RNG,FRUT_BODY_SUIT_IND,FRUT_SEED_ABUND_CD,FRUT_SEED_COLOR_CD,FRUT_SEED_CSPC_IND,FRUT_SEED_END_CD,FRUT_SEED_PRST_IND,FRUT_SEED_START_CD,FUEL_WOOD_SUIT_CD,GRAS_LOW_GRW_IND,GRWTH_FORM_CD,GRWTH_HABIT_CD,GRWTH_PRD_ACTV_CD,GRWTH_RATE_CD,HEDG_TOLR_CD,HT_AT_MTRTY,HT_AT_MTRTY_RNG,HT_MAX_BASE_AGE,HT_MAX_BASE_AGE_RNG,LEAF_RETNT_IND,LFSPN_CD,LMBR_SUIT_IND,MOIST_USE_CD,NAVL_STOR_SUIT_IND,N_FIX_POT_CD,NURS_STK_SUIT_IND,PALAT_HUMAN_IND,PALAT_ANIML_BRS_CD,PALAT_ANIML_GRZ_CD,PLNT_CLTVR_SEL_IND,PLNT_DEN_HIGH,PLNT_DEN_HIGH_RNG,PLNT_DEN_LOW,PLNT_DEN_LOW_RNG,PLYWD_VNR_SUIT_IND,POST_SUIT_IND,PRECIP_TOLR_MAX,PRECIP_TOLR_MAX_RNG,PRECIP_TOLR_MIN,PRECIP_TOLR_MIN_RNG,PRPG_BARE_ROOT_IND,PRPG_BULB_IND,PRPG_CORM_IND,PRPG_CUT_IND,PRPG_SEED_IND,PRPG_SOD_IND,PRPG_SPRIG_IND,PRPG_TUBR_IND,PRPG_CTNR_IND,PROTEIN_POT_CD,PLPWD_SUIT_IND,RGRWTH_RATE_CD,RSPRT_ABLE_IND,ROOT_DPTH_MIN,ROOT_DPTH_MIN_RNG,SLIN_TOLR_CD,SEED_SPRD_RATE_CD,SEEDLING_VGOR_CD,SEED_PER_LB,SEED_PER_LB_RNG,SHADE_TOLR_CD,SM_GRAIN_IND,SOIL_ADP_C_TXT_IND,SOIL_ADP_F_TXT_IND,SOIL_ADP_M_TXT_IND,SOIL_PH_TOLR_MAX,SOIL_PH_TOLR_MAX_RNG,SOIL_PH_TOLR_MIN,SOIL_PH_TOLR_MIN_RNG,TEMP_TOLR_MIN,TEMP_TOLR_MIN_RNG,TOX_CD,VEG_SPRD_RATE_CD,VS_COMM_AVAIL,Carbon_Sequestration_Tier
ACAM,Acorus americanus,No,High,None,Late Spring,Low,,No,No,No,None,No,Medium,Yes,None,Yellow,No,No,Green,Dense,Moderate,Medium,120,112,No,Medium,Green,No,Fall,No,Summer,,No,Erect,Rhizomatous,Spring and Summer,Moderate,None,3.9,3,,,No,Moderate,No,High,No,None,No,No,,Low,,4800,4500,3450,3000,No,No,65,60,16,15,No,No,No,No,No,No,Yes,No,No,,No,Slow,No,10,9,None,Slow,High,,,Intolerant,No,No,Yes,Yes,7.2,7.1,5.6,5.5,-38,-42,None,Moderate,Routinely Available,Minimal
ACCA4,Acorus calamus,No,High,None,Late Spring,Medium,High,No,No,No,None,No,Medium,No,High,Yellow,No,No,Green,Dense,Porous,Coarse,90,82,No,Low,Brown,No,Summer,No,Summer,,No,Semi-Erect,Rhizomatous,Spring and Summer,Moderate,None,5,4,,,No,Moderate,No,High,No,None,Yes,No,Low,Low,,4850,4500,2700,1800,No,No,60,60,32,30,Yes,No,No,No,No,No,Yes,No,Yes,Low,No,Moderate,No,12,12,Low,None,Low,498454,400000,Intolerant,No,Yes,No,Yes,7.2,7.1,5.2,5.1,-38,-42,None,Moderate,Routinely Available,Minimal
ACCI,Acer circinatum,No,None,None,Spring,None,High,No,Yes,No,Low,Yes,Medium,No,Medium,Green,Yes,No,Green,Moderate,Porous,Medium,200,187,No,Medium,Brown,No,Fall,No,Summer,High,No,Erect,Single Stem,Spring and Summer,Moderate,None,20,20,15,15,No,Long,No,Medium,Yes,None,No,No,Medium,,,1100,1000,700,550,No,No,80,60,24,20,Yes,No,No,No,Yes,No,No,No,Yes,,No,,Yes,24,24,None,Slow,Medium,4620,10,Tolerant,No,Yes,Yes,Yes,7.5,7.5,5.5,5.5,-13,-17,None,None,No Known Source,High
ACCO2,Acacia constricta,No,None,None,Late Spring,High,Medium,No,No,No,High,No,Low,No,High,Yellow,Yes,No,Green,Porous,Porous,Fine,250,247,No,High,Brown,Yes,Fall,No,Summer,,No,Erect,Multiple Stem,Spring and Summer,Slow,High,9,6,6,6,No,Moderate,No,Low,No,Low,No,Yes,Low,,,700,500,300,300,No,No,20,20,4,4,Yes,No,No,No,Yes,No,No,No,Yes,Medium,No,,Yes,12,12,Medium,Moderate,High,23811,10,Intolerant,No,Yes,No,Yes,8.5,8.5,7,6.9,-13,-17,Slight,None,Field Collections Only,Minimal
ACCO4,Aconitum columbianum,No,Medium,None,Early Summer,Medium,Medium,No,No,No,Low,No,Medium,No,Medium,Blue,Yes,No,Green,Moderate,Porous,Medium,110,97,No,Medium,Black,No,Summer,No,Summer,,No,Erect,Single Crown,Spring and Summer,Moderate,None,5,4,,,No,Moderate,No,High,No,None,Yes,No,Low,Low,,1200,1000,700,550,No,No,50,50,12,10,No,No,No,No,Yes,No,No,No,Yes,Low,No,Slow,No,10,9,None,Moderate,Medium,,,Intermediate,No,Yes,Yes,Yes,7.2,7.1,5.4,5.3,-28,-32,Moderate,None,Routinely Available,Minimal
ACCY2,Acacia cyclops,No,None,None,Mid Spring,Low,High,No,No,Yes,High,No,Low,No,Medium,Yellow,Yes,No,Dark Green,Dense,Dense,Fine,180,172,No,High,Black,Yes,Fall,Yes,Summer,,No,Semi-Erect,Multiple Stem,Spring and Summer,Rapid,High,12,10,12,10,Yes,Short,No,Medium,No,Medium,Yes,No,Low,,,1200,1000,700,550,No,No,40,40,16,15,Yes,No,No,Yes,Yes,No,No,No,Yes,Low,No,,Yes,18,18,Medium,Slow,Medium,35000,10,Intolerant,No,Yes,Yes,Yes,8.3,8.3,6,5.9,14,13,None,None,Field Collections Only,Minimal
ACGI,Acer ginnala,No,None,None,Mid Spring,Low,High,No,Yes,No,Low,Yes,Medium,No,High,White,No,No,Green,Dense,Moderate,Medium,120,112,No,High,Brown,Yes,Fall,No,Summer,Medium,No,Rounded,Multiple Stem,Spring and Summer,Rapid,Medium,20,20,15,15,No,Moderate,No,Medium,No,None,Yes,No,Low,Low,,700,500,170,10,No,No,60,60,30,30,Yes,No,No,No,Yes,No,No,No,Yes,,No,,Yes,24,24,Medium,Slow,Low,15200,10,Intermediate,No,Yes,No,Yes,7.5,7.5,6.1,6.1,-28,-32,None,None,Routinely Available,High
ACGI,Acer ginnala,No,None,None,Mid Spring,Medium,High,No,Yes,No,Low,Yes,Medium,No,High,White,No,No,Green,Dense,Moderate,Medium,130,127,No,High,Brown,Yes,Fall,No,Summer,Medium,No,Rounded,Multiple Stem,Spring and Summer,Rapid,Medium,20,20,15,15,No,Moderate,No,Medium,No,None,Yes,No,Low,Low,,700,500,170,10,No,No,60,60,30,30,Yes,No,No,No,Yes,No,No,No,Yes,,No,,Yes,24,24,Medium,Slow,Low,15200,10,Intermediate,No,Yes,No,Yes,7.5,7.5,6.1,6.1,-38,-42,None,None,Routinely Available,High
ACGL,Acer glabrum,No,Low,None,Late Spring,Medium,High,No,Yes,No,Medium,Yes,Medium,No,High,Green,No,No,Green,Dense,Porous,Coarse,180,172,No,High,Brown,No,Fall,No,Summer,Medium,No,Erect,Multiple Stem,Spring and Summer,Rapid,Medium,30,20,15,15,No,Moderate,No,Low,No,None,Yes,No,Medium,Low,,1200,1000,300,300,No,No,60,60,9,9,Yes,No,No,Yes,Yes,No,No,No,Yes,,No,,Yes,24,24,None,Slow,Low,13663,10,Intermediate,No,Yes,No,Yes,7.5,7.5,5.8,5.7,-43,-47,None,Moderate,Routinely Available,High
ACGLD4,Acer glabrum var. douglasii,No,None,None,Late Spring,Low,High,No,Yes,No,Low,Yes,Medium,No,Low,Green,No,No,Green,Moderate,Porous,Coarse,120,112,No,Medium,Brown,No,Fall,No,Summer,Low,No,Erect,Single Stem,Spring and Summer,Moderate,None,30,20,20,20,No,Moderate,No,Medium,No,None,Yes,No,Medium,Medium,,2700,2500,700,550,No,No,50,50,16,15,Yes,No,No,No,Yes,No,No,No,Yes,Low,No,,Yes,24,24,None,Slow,Medium,16000,10,Tolerant,No,Yes,No,Yes,7.5,7.5,5.5,5.5,-13,-17,None,None,Contracting Only,High
ACGR,Acacia greggii,No,None,None,Mid Spring,High,Medium,No,No,No,High,No,Low,No,High,Yellow,Yes,No,Green,Porous,Porous,Fine,250,247,No,High,Brown,Yes,Fall,No,Summer,,No,Erect,Multiple Stem,Spring and Summer,Slow,High,20,20,15,15,No,Long,Yes,Low,No,None,No,Yes,Medium,,,700,500,300,300,No,No,20,20,3,3,Yes,No,No,No,Yes,No,No,No,Yes,Medium,No,,Yes,12,12,None,Moderate,High,1360,10,Intolerant,No,Yes,Yes,Yes,8.5,8.5,6.5,6.5,-13,-17,None,None,Field Collections Only,Minimal
ACGR3,Acer grandidentatum,No,Low,None,Spring,None,High,No,Yes,No,Low,No,Medium,No,Medium,Yellow,Yes,No,Green,Moderate,Porous,Medium,100,97,No,Medium,Brown,No,Summer,No,Summer,High,No,Erect,Single Stem,Spring and Summer,Moderate,None,38,20,20,20,No,Short,No,Medium,No,None,No,No,Low,,,1100,1000,700,550,No,Yes,30,30,16,15,Yes,No,No,No,Yes,No,No,No,Yes,,No,,Yes,24,24,None,Slow,Low,6350,10,Intermediate,No,Yes,Yes,Yes,8,7.9,6,5.9,-31,-32,None,None,Routinely Available,High
ACHY,Achnatherum hymenoides,No,Medium,None,Late Spring,High,Medium,No,Yes,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,110,97,No,High,Brown,No,Summer,No,Spring,,No,Erect,Bunch,"Spring, Summer, Fall",Moderate,None,2,2,,,No,Short,No,Low,No,None,No,No,High,High,,,,,,No,No,16,15,6,6,No,No,No,No,Yes,No,No,No,No,Medium,No,Moderate,No,18,18,Low,Rapid,High,161920,100000,Intolerant,No,Yes,No,Yes,8.6,8.5,6.6,6.5,-33,-37,None,None,Routinely Available,Minimal
ACHY,Achnatherum hymenoides,No,None,None,Late Spring,High,Medium,No,Yes,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,90,82,No,High,Brown,No,Summer,No,Spring,,No,Erect,Bunch,"Spring, Summer, Fall",Moderate,None,2,2,,,No,Short,No,Low,No,None,No,No,High,High,,,,,,No,No,16,15,8,8,No,No,No,No,Yes,No,No,No,No,Medium,No,Moderate,No,18,18,Low,Rapid,High,161920,100000,Intolerant,No,Yes,No,Yes,8.6,8.5,6.6,6.5,-43,-47,None,None,Routinely Available,Minimal
ACHY,Achnatherum hymenoides,No,None,None,Late Spring,High,Medium,No,Yes,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,90,82,No,High,Brown,No,Summer,Yes,Spring,,No,Erect,Bunch,"Spring, Summer, Fall",Moderate,None,2,2,,,No,Short,No,Low,No,None,No,No,High,High,,,,,,No,No,16,15,8,8,No,No,No,No,Yes,No,No,No,No,Medium,No,Moderate,No,18,18,Low,Rapid,High,161920,100000,Intolerant,No,Yes,No,Yes,8.6,8.5,6.6,6.5,-36,-37,None,None,Routinely Available,Minimal
ACHY,Achnatherum hymenoides,No,None,None,Late Spring,High,Medium,No,Yes,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,90,82,No,Medium,Brown,No,Summer,No,Spring,,No,Erect,Bunch,"Spring, Summer, Fall",Moderate,None,2,2,,,No,Short,No,Low,No,None,No,No,High,High,,,,,,No,No,16,15,6,6,No,No,No,No,Yes,No,No,No,No,Medium,No,Moderate,No,18,18,Low,Moderate,High,161920,100000,Intolerant,No,Yes,No,Yes,8.6,8.5,6.6,6.5,-43,-47,None,None,Routinely Available,Minimal
ACKO,Acacia koa,No,None,None,Spring,Medium,Low,No,No,No,Medium,No,Medium,No,Medium,Yellow,No,No,Green,Moderate,Moderate,Medium,365,352,No,Medium,Brown,No,Summer,Yes,Spring,,No,Erect,Single Stem,Year Round,Moderate,Medium,110,100,100,80,Yes,Long,Yes,Medium,Yes,High,Yes,No,High,,,700,500,300,300,Yes,No,200,60,50,50,Yes,No,No,Yes,Yes,No,No,No,Yes,,No,,Yes,30,30,None,Moderate,Medium,4900,10,Intolerant,No,Yes,Yes,Yes,7,6.9,5,4.9,31,28,None,None,Routinely Available,Minimal
ACKO2,Acacia koaia,No,None,None,Early Spring,Medium,Low,No,No,No,Low,No,Medium,No,Low,Yellow,Yes,No,Green,Dense,Dense,Fine,365,352,Yes,,Yellow,Yes,Year Round,Yes,Year Round,Low,No,Rounded,,Year Round,Rapid,Low,40,40,60,60,Yes,Long,Yes,,No,High,No,Yes,Low,Low,,640,500,320,300,No,No,200,60,33,30,No,No,No,No,Yes,No,No,No,No,,No,,No,36,36,None,,Low,40824,10,Intolerant,No,Yes,No,Yes,7.4,7.3,4,3.9,25,23,Slight,,,Minimal
ACLE9,Achnatherum lettermanii,No,None,None,Summer,Medium,Medium,No,No,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,90,82,No,Low,Brown,No,Fall,No,Summer,,Yes,Semi-Erect,Bunch,"Spring, Summer, Fall",Slow,None,2,2,,,No,Moderate,No,Low,No,None,No,No,High,High,,,,,,No,No,20,20,6,6,No,No,No,No,Yes,No,No,No,No,Low,No,Slow,No,12,12,None,Moderate,High,225000,200000,Intolerant,No,Yes,No,Yes,7.6,7.5,6,5.9,-28,-32,None,None,Contracting Only,Minimal
ACLEL,Achnatherum lemmonii var. lemmonii,No,None,None,Summer,Medium,Medium,No,No,No,High,No,Low,No,High,Yellow,No,Yes,Green,Moderate,Porous,Medium,90,82,No,Low,Brown,No,Fall,No,Summer,,Yes,Semi-Erect,Bunch,"Spring, Summer, Fall",Slow,None,3,3,,,No,Moderate,No,Low,No,None,No,No,Medium,Medium,,,,,,No,No,20,20,10,10,No,No,No,No,Yes,No,No,No,No,Low,No,Slow,No,12,12,None,Moderate,Medium,239000,200000,Intolerant,No,Yes,No,Yes,7.5,7.5,6,5.9,-28,-32,None,None,No Known Source,Minimal
ACLO,Acacia longifolia,No,None,None,Summer,Low,High,No,No,Yes,High,No,Low,No,Medium,Yellow,Yes,No,Green,Dense,Dense,Fine,180,172,No,High,Brown,Yes,Fall,Yes,Summer,,No,Semi-Erect,Multiple Stem,Spring and Summer,Rapid,High,20,20,20,20,Yes,Short,No,Medium,No,Medium,Yes,No,Low,,,1200,1000,700,550,No,No,40,40,16,15,Yes,No,No,Yes,Yes,No,No,No,Yes,Low,No,,Yes,24,24,Low,Slow,Medium,33000,10,Intolerant,No,Yes,Yes,Yes,8.3,8.3,6,5.9,14,13,None,None,Routinely Available,Minimal
ACMA3,Acer macrophyllum,No,Medium,None,Mid Spring,Low,High,No,Yes,Yes,Low,Yes,Medium,No,High,Yellow,No,No,Green,Dense,Porous,Medium,140,127,No,High,Brown,No,Fall,Yes,Summer,Medium,No,Erect,Single Stem,Spring and Summer,Rapid,None,60,60,30,30,No,Moderate,Yes,Medium,No,None,Yes,Yes,High,Low,,700,500,300,300,Yes,No,260,60,22,20,Yes,No,No,Yes,Yes,No,No,No,Yes,,No,,Yes,24,24,None,Moderate,High,3120,10,Intermediate,No,Yes,Yes,Yes,7.2,7.1,4.8,4.7,-14,-17,None,None,Contracting Only,High
ACME,Acacia melanoxylon,No,None,None,Early Spring,Low,High,No,No,Yes,High,No,Low,No,Medium,White,Yes,No,Dark Green,Moderate,Moderate,Fine,180,172,No,High,Brown,Yes,Fall,Yes,Summer,,No,Erect,Multiple Stem,Spring and Summer,Rapid,Medium,40,40,40,40,Yes,Short,No,Medium,No,Medium,Yes,No,Low,,,1200,1000,300,300,No,No,40,40,16,15,Yes,No,No,Yes,Yes,No,No,No,Yes,Low,No,,Yes,28,27,Low,Slow,Medium,31200,10,Intolerant,No,Yes,Yes,Yes,8.3,8.3,6,5.9,14,13,None,Moderate,No Known Source,Minimal
ACMI2,Achillea millefolium,No,None,Low,Early Summer,Medium,Medium,No,No,No,Medium,No,Medium,No,High,White,Yes,No,Green,Porous,Porous,Fine,120,112,No,Medium,Brown,No,Summer,Yes,Summer,,No,Erect,Rhizomatous,Spring,Moderate,None,3,3,,,No,Moderate,No,Medium,No,None,Yes,No,Medium,Low,,19000,19000,4800,4000,No,No,60,60,8,8,No,No,No,No,Yes,No,Yes,No,Yes,Low,No,Moderate,No,8,6,Low,Slow,Low,2852012,1500000,Intermediate,No,No,No,Yes,8,7.9,6,5.9,-38,-42,Slight,Slow,Routinely Available,Minimal
ACMIO,Achillea millefolium var. occidentalis,No,None,None,Late Spring,Medium,Medium,No,No,No,Medium,No,Low,No,High,White,Yes,No,Green,Porous,Porous,Fine,100,97,No,Medium,Brown,No,Fall,No,Summer,,No,Erect,Rhizomatous,Spring,Moderate,None,3,3,,,No,Moderate,No,Medium,No,None,No,No,Low,Low,,19000,19000,4800,4000,No,No,26,25,8,8,No,No,No,No,Yes,No,Yes,No,No,Low,No,Moderate,No,8,6,Low,Moderate,High,3411818,1500000,Intermediate,No,Yes,No,Yes,8,7.9,6,5.9,-38,-42,Slight,Rapid,Routinely Available,Minimal
ACNE2,Acer negundo,No,Medium,None,Early Spring,High,High,No,Yes,Yes,High,Yes,Medium,No,Low,White,No,No,Green,Dense,Porous,Coarse,100,97,No,High,Brown,Yes,Fall,No,Summer,Low,No,Erect,Multiple Stem,Spring and Summer,Rapid,None,60,60,35,30,No,Short,No,Medium,No,None,Yes,Yes,Low,Low,,1200,1000,300,300,No,No,75,60,15,15,Yes,No,No,Yes,Yes,No,No,No,Yes,Low,Yes,,Yes,40,39,Medium,Slow,Low,11360,10,Tolerant,No,Yes,Yes,Yes,7.8,7.7,5,4.9,-46,-47,None,Slow,Routinely Available,High
